#ts True|True True|False False|True False|False
1700524800 62335 0 0 0
1700525700 66306 0 0 0
1700526600 64222 0 0 0
1700527500 65976 0 0 0
1700528400 64373 0 0 0
1700529300 65906 0 0 0
1700530200 64357 0 0 0
1700531100 65977 0 0 0
1700532000 64264 0 0 0
1700532900 65853 0 0 0
1700533800 64255 0 0 0
1700534700 65867 0 0 0
1700535600 64316 0 0 0
1700536500 65819 0 0 0
1700537400 64291 0 0 0
1700538300 66074 0 0 0
1700539200 64422 0 0 0
1700540100 66086 0 0 0
1700541000 64293 0 0 0
1700541900 66011 0 0 0
1700542800 64393 0 0 0
1700543700 65927 0 0 0
1700544600 64304 0 0 0
1700545500 66006 0 0 0
1700546400 61619 0 0 0
1700547300 65940 0 0 0
1700548200 64369 0 0 0
1700549100 66017 0 0 0
1700550000 64382 0 0 0
1700550900 65921 0 0 0
1700551800 64351 0 0 0
1700552700 65970 0 0 0
1700553600 64290 0 0 0
1700554500 65424 0 0 0
1700555400 63915 0 0 0
1700556300 65532 0 0 0
1700557200 64027 0 0 0
1700558100 65556 0 0 0
1700559000 63897 0 0 0
1700559900 65586 0 0 0
1700560800 64014 0 0 0
1700561700 65567 0 0 0
1700562600 64215 0 0 0
1700563500 65950 0 0 0
1700564400 64342 0 0 0
1700565300 65766 0 0 0
1700566200 64286 0 0 0
1700567100 65999 0 0 0
1700568000 62587 0 0 0
1700568900 65949 0 0 0
1700569800 64320 0 0 0
1700570700 66017 0 0 0
1700571600 64368 0 0 0
1700572500 65907 0 0 0
1700573400 64262 0 0 0
1700574300 65979 0 0 0
1700575200 64368 0 0 0
1700576100 65730 0 0 0
1700577000 64347 0 0 0
1700577900 65995 0 0 0
1700578800 64377 0 0 0
1700579700 65899 0 0 0
1700580600 64315 0 0 0
1700581500 66006 0 0 0
1700582400 64422 0 0 0
1700583300 65938 0 0 0
1700584200 64319 0 0 0
1700585100 65998 0 0 0
1700586000 64380 0 0 0
1700586900 65883 0 0 0
1700587800 64311 0 0 0
1700588700 65932 0 0 0
1700589600 64249 0 0 0
1700590500 65836 0 0 0
1700591400 64157 0 0 0
1700592300 65860 0 0 0
1700593200 64312 0 0 0
1700594100 65800 0 0 0
1700595000 64200 0 0 0
1700595900 65881 0 0 0
1700596800 64277 0 0 0
1700597700 65826 0 0 0
1700598600 64162 0 0 0
1700599500 65856 0 0 0
1700600400 64294 0 0 0
1700601300 65792 0 0 0
1700602200 64190 0 0 0
1700603100 65930 0 0 0
1700604000 64391 0 0 0
1700604900 65903 0 0 0
1700605800 64216 0 0 0
1700606700 65626 0 0 0
1700607600 63963 0 0 0
1700608500 65453 0 0 0
1700609400 63853 0 0 0
1700610300 65515 0 0 0
1700611200 61570 3 223 17
1700612100 67167 8 152 37
1700613000 63758 1 146 23
1700613900 65204 12 149 185
1700614800 63626 16 146 184
1700615700 65113 13 160 177
1700616600 63603 13 163 176
1700617500 65152 12 174 170
1700618400 63431 108 181 190
1700619300 65116 11 165 171
1700620200 63426 10 184 174
1700621100 65081 10 189 173
1700622000 63527 14 174 179
1700622900 65043 12 171 183
1700623800 63549 12 177 194
1700624700 65185 13 171 182
1700625600 63476 15 267 195
1700626500 65107 13 185 191
1700627400 63475 12 214 193
1700628300 65174 13 187 191
1700629200 63553 12 200 189
1700630100 65021 12 195 181
1700631000 63380 11 204 182
1700631900 65085 11 202 182
1700632800 61238 125 248 196
1700633700 65154 10 216 181
1700634600 63436 11 217 181
1700635500 65167 12 205 181
1700636400 63543 16 223 183
1700637300 65081 12 207 184
1700638200 63343 14 353 196
1700639100 65005 162 208 186
1700640000 63346 46 274 188
1700640900 64735 46 433 185
1700641800 63275 43 247 195
1700642700 65009 38 255 188
1700643600 63436 39 252 221
1700644500 64972 46 273 189
1700645400 63414 26 260 194
1700646300 65072 12 276 182
1700647200 63500 30 255 191
1700648100 64969 14 256 187
1700649000 63310 13 338 205
1700649900 64860 19 446 244
1700650800 63476 18 267 188
1700651700 64898 13 272 185
1700652600 63315 13 268 192
1700653500 65037 11 322 197
1700654400 63466 12 319 196
1700655300 64887 15 365 200
1700656200 63337 13 347 201
1700657100 64968 12 348 194
1700658000 63406 15 307 208
1700658900 64970 11 320 195
1700659800 63425 12 303 193
1700660700 64904 13 429 182
1700661600 63176 12 493 198
1700662500 64928 13 345 182
1700663400 63343 18 344 191
1700664300 65022 11 364 187
1700665200 63365 12 353 193
1700666100 64879 12 398 185
1700667000 63354 12 411 191
1700667900 64888 14 440 188
1700668800 63343 18 375 199
1700669700 64888 13 471 196
1700670600 63232 14 459 196
1700671500 64850 12 448 187
1700672400 63337 12 448 189
1700673300 64800 12 448 180
1700674200 63326 13 395 197
1700675100 64980 12 389 178
1700676000 47504 428 14346 2411
1700676900 37022 93 26546 1584
1700677800 37057 77 25859 704
1700678700 36778 101 27667 862
1700679600 34038 110 28941 735
1700680500 33760 52 30999 565
1700681400 33058 32 30326 390
1700682300 33969 210 30644 570
1700683200 40717 195 22299 683
1700684100 47274 134 17613 372
1700685000 46531 114 16693 514
1700685900 48211 76 16566 540
1700686800 46039 100 16939 763
1700687700 47627 79 17035 596
1700688600 46205 95 16907 631
1700689500 48118 78 16669 594
1700690400 46701 91 16540 620
1700691300 48238 78 16802 565
1700692200 46897 40 16472 463
1700693100 48564 39 16535 440
1700694000 47336 29 16070 469
1700694900 49324 26 15612 412
1700695800 49830 25 13542 430
1700696700 51328 45 13606 483
1700697600 48794 23 12591 435
1700698500 51086 27 13807 438
1700699400 49508 21 13850 452
1700700300 51053 24 14035 415
1700701200 49740 31 13710 441
1700702100 51592 26 13439 432
1700703000 50155 24 13281 441
1700703900 52057 26 12985 416
1700704800 50949 28 12493 432
1700705700 52956 36 12018 412
1700706600 51379 109 11935 447
1700707500 52999 36 12047 419
1700708400 51496 38 11978 443
1700709300 52899 38 12033 429
1700710200 51439 33 11957 444
1700711100 52943 37 12070 442
1700712000 51347 87 11938 512
1700712900 52934 35 12072 438
1700713800 51431 35 11930 450
1700714700 53134 38 11845 422
1700715600 51613 34 11825 445
1700716500 52341 78 12285 556
1700717400 51309 37 11951 472
1700718300 53060 35 11886 411
1700719200 52265 37 11118 430
1700720100 53812 37 11168 405
1700721000 52326 34 11109 436
1700721900 53905 34 11114 416
1700722800 52447 37 11039 434
1700723700 54346 36 10645 409
1700724600 53288 32 10082 435
1700725500 57158 35 7915 407
1700726400 56409 39 7098 412
1700727300 57828 41 7152 397
1700728200 48713 287 12741 2150
1700729100 35083 148 28567 1598
1700730000 33385 98 29538 951
1700730900 31898 55 32641 729
1700731800 33700 56 29527 560
1700732700 37435 33 27576 458
1700733600 35119 32 28300 460
1700734500 36644 28 28267 444
1700735400 35168 32 28200 441
1700736300 36631 33 28438 449
1700737200 35243 35 28140 447
1700738100 36665 32 28228 441
1700739000 35299 32 27979 451
1700739900 37621 30 27368 449
1700740800 35538 29 26300 441
1700741700 37092 26 27873 438
1700742600 35644 29 27746 448
1700743500 37096 23 27958 440
1700744400 35705 27 27785 448
1700745300 37084 25 27896 444
1700746200 36016 25 27339 456
1700747100 38512 23 26553 439
1700748000 37094 27 26323 447
1700748900 38496 23 26384 444
1700749800 37149 24 26307 448
1700750700 38576 23 26377 439
1700751600 37571 26 25979 428
1700752500 39071 15 26007 293
1700753400 37693 13 25892 266
1700754300 39449 17 25800 265
1700755200 38093 18 25499 269
1700756100 39652 17 25604 256
1700757000 38338 18 25264 255
1700757900 39758 16 25459 255
1700758800 38348 17 25355 255
1700759700 39774 16 25293 261
1700760600 38404 20 25211 256
1700761500 39852 17 25353 258
1700762400 37195 19 24030 245
1700763300 40193 15 24842 250
1700764200 38790 18 24757 249
1700765100 40716 16 24408 254
1700766000 40174 18 23367 246
1700766900 42495 54 22531 277
1700767800 41092 16 22368 253
1700768700 42599 15 22462 306
1700769600 41240 29 22370 263
1700770500 42816 14 22227 250
1700771400 41424 16 22073 250
1700772300 42876 13 22208 251
1700773200 41412 16 22137 260
1700774100 42887 14 22204 253
1700775000 41353 13 22052 280
1700775900 42882 13 22208 254
1700776800 41545 15 22126 273
1700777700 42959 13 22222 257
1700778600 41450 15 22108 254
1700779500 42983 14 22220 252
1700780400 41453 16 22097 267
1700781300 42882 46 22135 266
1700782200 41391 16 22087 252
1700783100 42925 14 22195 250
1700784000 40474 17 21581 277
1700784900 42834 15 22186 264
1700785800 41435 16 22089 266
1700786700 42946 14 22191 277
1700787600 41251 129 22107 434
1700788500 42844 13 22269 286
1700789400 41438 15 22099 264
1700790300 42997 16 22227 270
1700791200 41430 17 22141 279
1700792100 42928 14 22179 279
1700793000 41359 13 22114 262
1700793900 42946 12 22161 265
1700794800 41425 18 22092 269
1700795700 42878 13 22145 257
1700796600 41435 17 22124 267
1700797500 42947 15 22205 266
1700798400 41488 20 22124 266
1700799300 42933 16 22174 257
1700800200 41459 16 22082 266
1700801100 42980 30 22179 265
1700802000 41461 14 22107 246
1700802900 42854 12 22210 245
1700803800 41353 14 22110 246
1700804700 42826 12 22255 245
1700805600 40198 15 21776 262
1700806500 42772 15 22334 257
1700807400 41367 59 22099 326
1700808300 42941 51 22150 298
1700809200 41534 20 22066 278
1700810100 43610 14 21530 253
1700811000 42129 13 21409 254
1700811900 43573 79 21579 252
1700812800 42160 14 21410 261
1700813700 43408 36 21506 309
1700814600 42437 15 21062 266
1700815500 44469 19 20630 261
1700816400 44634 24 19083 270
1700817300 47137 23 18069 271
1700818200 46362 26 17138 273
1700819100 48204 22 17022 253
